Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Research > Notifications: Character Limit Mismatch in Title Field,"![Screenshot_2025-04-29_at_10.57.11_AM](/uploads/18ddc43f768be23e9640a3f089987d34/Screenshot_2025-04-29_at_10.57.11_AM.png)

In the Research > Notifications section, the Title field shows a limit of 200 characters, but when submitting, it throws an error saying:

""The title field must not be greater than 191 characters.""

This inconsistency misleads users and results in submission errors.

🧪 Steps to Reproduce:
Go to Research > Notifications in the dashboard.

Enter a title with around 195-200 characters.

Submit the form.

Receive error: “Title must not be greater than 191 characters.”

🚫 Actual Behavior:
UI allows up to 200 characters.

Backend validation rejects anything over 191.

✅ Expected Behavior:
Either:

UI should enforce a 191-character limit, or

Backend should accept up to 200 characters, as stated.",246,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/246,Open,BugSlayer,abhiram9,"","",No,No,,2025-04-29 05:27:55,2025-05-06 16:38:03,,,,"Clarification Required From Developer,Dev Test Phase 2,Functional,P2",0,0
Console errors found across all pages,![Screenshot_2025-04-29_at_2.57.24_PM](/uploads/71833ec3de6c52c15c401b45cf0c6f13/Screenshot_2025-04-29_at_2.57.24_PM.png),257,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/257,Open,BugSlayer,abhiram9,"","",No,No,,2025-04-29 09:27:55,2025-05-06 06:58:43,,,,"Dev Test Phase 2,HTML,Not Fixed,P1,Status : New,Type : Bug",0,0
Low Pagespeed and performance,"Mobile : 57 : https://pagespeed.web.dev/analysis/https-www-mits-dev6-intersmarthosting-in/7gslgusf2n?form_factor=mobile

Desktop : 78 : https://pagespeed.web.dev/analysis/https-www-mits-dev6-intersmarthosting-in/7gslgusf2n?form_factor=desktop",265,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/265,Open,BugSlayer,abhiram9,"","",No,No,,2025-04-29 10:31:38,2025-05-06 06:50:35,,,,"Dev Test Phase 2,HTML,Not Fixed,P0,Status : New,Type : Enhancement",0,0
Home banner : Ticker/ Notification item overlaps,"![Screenshot_2025-05-06_at_11.43.17_AM](/uploads/28d9b855152967758b89f5d8b73eee40/Screenshot_2025-05-06_at_11.43.17_AM.png)


https://www.mits.dev6.intersmarthosting.in",266,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/266,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 06:14:09,2025-05-06 06:51:33,,,,"Dev Test Phase 2,HTML,P1,Regression,Type : Bug",0,0
Floating Button : Department texts were left aligned  before now it is centre aligned,![Screenshot_2025-05-06_at_12.04.03_PM](/uploads/981db308e122e4be8b97f83efb035c2a/Screenshot_2025-05-06_at_12.04.03_PM.png),267,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/267,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 06:34:38,2025-05-06 06:34:38,,,,"Dev Test Phase 2,Deviation,HTML,P3,Regression,Type : Enhancement",0,0
Added only 2 sliders but shows 8 on frontend,![Screenshot_2025-05-06_at_12.09.30_PM](/uploads/3015bc213b3f8fe2d29ab09211846811/Screenshot_2025-05-06_at_12.09.30_PM.png)![Screenshot_2025-05-06_at_12.09.41_PM](/uploads/0faf64ba76f9f1b6a8b4529edefd9d16/Screenshot_2025-05-06_at_12.09.41_PM.png),268,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/268,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 06:40:11,2025-05-06 06:40:11,,,,"Dev Test Phase 2,HTML,P1,Regression,Type : Bug",0,0
Home : about : Padding is missing between text and the shape,"",269,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/269,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 08:41:17,2025-05-06 08:41:17,,,,"Dev Test Phase 2,HTML,P3,Regression,Type : Enhancement",0,0
"On smaller screens, the slider number goes behind or overlaps the logo or side border","![Screenshot_2025-05-06_at_2.18.04_PM](/uploads/284fd5583e0ecb7392789ec2e6eb1629/Screenshot_2025-05-06_at_2.18.04_PM.png)

![Screenshot_2025-05-06_at_2.32.39_PM](/uploads/8e58b4fe5f024d5446fdd1a38d6f0bba/Screenshot_2025-05-06_at_2.32.39_PM.png)",270,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/270,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 08:48:55,2025-05-06 09:02:51,,,,"Dev Test Phase 2,HTML,P3,Status : New,Type : Bug",0,0
Research : add pdf : PDF Selector box shows all type of files,"",271,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/271,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 09:34:49,2025-05-06 09:34:49,,,,"Dev Test Phase 2,Functional,P2,Regression,Type : Bug",0,0
Research : Flash ticker :  Notifications title is wrong.,![Screenshot_2025-05-06_at_3.07.43_PM](/uploads/7231d80f75d46172257e6cdb16064c2e/Screenshot_2025-05-06_at_3.07.43_PM.png),272,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/272,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-06 09:38:00,2025-05-06 09:38:27,,,,"Dev Test Phase 2,HTML,P4,Status : New,Type : Bug",0,0
Home: Departments : items are not being navigated to its page,![Screenshot_2025-05-08_at_1.16.42_PM](/uploads/2d84235db8e09d9a123313c03e0f32af/Screenshot_2025-05-08_at_1.16.42_PM.png),273,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/273,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 07:49:04,2025-05-08 07:49:04,,,,"Dev Test Phase 2,Functional,P0,Regression,Type : Bug",0,0
BE : Statistics : Button : the error message is wrong. it says add value less than or equal to 100 causes unable to update the higher value data,![Screenshot_2025-05-08_at_1.44.46_PM](/uploads/62cdb6ca0ec95c77160c00af3cfd7d71/Screenshot_2025-05-08_at_1.44.46_PM.png),274,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/274,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 08:15:25,2025-05-09 05:32:08,,,,"Dev Test Phase 2,Functional,P0,Regression,Type : Bug",0,0
Placement skill mapping has two boxes but only one box is editable from backend and the title of the second box is missing,"https://www.mits.dev6.intersmarthosting.in/admin-portal/placement-cms/MQ==/skill-mappings

![Screenshot_2025-05-08_at_2.47.00_PM](/uploads/c6f763786dd19f84f4c929a248e143ee/Screenshot_2025-05-08_at_2.47.00_PM.png)",275,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/275,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 09:16:47,2025-05-08 09:17:12,,,,"Dev Test Phase 2,Functional,P1,Status : New,Type : Bug",0,0
Milestone : Invalid icons showing after the years text,n![Screenshot_2025-05-08_at_3.42.00_PM](/uploads/1abefa0c7bba866cee9c3bb4c39146a8/Screenshot_2025-05-08_at_3.42.00_PM.png,276,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/276,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 10:13:18,2025-05-08 10:13:18,,,,"Dev Test Phase 2,HTML,P1,Status : New,Type : Bug",0,0
Management : text before read more is truncated,"https://www.mits.dev6.intersmarthosting.in/admin-portal/college-council-cms
![Screenshot_2025-05-08_at_4.34.41_PM](/uploads/7ae146c305b9fbdc6a0ca01e7e7a67fb/Screenshot_2025-05-08_at_4.34.41_PM.png)",277,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/277,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 11:05:19,2025-05-08 11:05:19,,,,"Dev Test Phase 2,HTML,P2,Status : New,Type : Bug",0,0
College Council : Sort order of “College Council” section and “Objectives” section is getting clashed.,"",278,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/278,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 11:06:35,2025-05-08 11:06:35,,,,"Dev Test Phase 2,Functional,P1,Status : New,Type : Bug",0,0
College Council : Objectives : PDF Button is showing in 2 lines,![Screenshot_2025-05-08_at_4.38.52_PM](/uploads/8cdbd54f58284a67de69e10b7617c081/Screenshot_2025-05-08_at_4.38.52_PM.png),279,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/279,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-08 11:09:39,2025-05-08 11:09:39,,,,"Dev Test Phase 2,HTML,P4,Status : New,Type : Enhancement",0,0
Slider: Short description is not showing anywhere,"",280,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/280,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 04:38:15,2025-05-09 04:39:19,,,,"Dev Test Phase 2,HTML,P1,Status : New,Type : Bug",0,0
Slider : Content is not showing in 2 lines as per the design,![Screenshot_2025-05-09_at_10.08.59_AM](/uploads/2d73158076fbf3808fc81f61066d7ebd/Screenshot_2025-05-09_at_10.08.59_AM.png),281,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/281,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 04:39:18,2025-05-09 04:42:25,,,,"Dev Test Phase 2,HTML,P1,Status : New,Type : Bug",0,0
"Slider : when title is lengthier , the red background is showing too far from MITS : also need to decrease transparency","",282,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/282,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 04:42:24,2025-05-09 05:25:52,,,,"Dev Test Phase 2,HTML,P0,Status : New,Type : Bug",0,0
"Courses : Delete: the delete alert is not being closed immediately causes ""an error occurred"" alert when clicked delete again","",283,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/283,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 04:50:03,2025-05-09 04:51:08,,,,"Dev Test Phase 2,Functional,P2,Status : New,Type : Bug",0,0
Notification slider appears with delay instead of immediately on page load,https://www.mits.dev6.intersmarthosting.in,284,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/284,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:28:54,2025-05-09 05:28:54,,,,"Dev Test Phase 2,HTML,P4,Status : New,Type : Bug",0,0
Sister Company names are not showing as tooltip,https://www.mits.dev6.intersmarthosting.in,285,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/285,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:34:03,2025-05-09 05:34:23,,,,"Dev Test Phase 2,HTML,P1,Status : New,Type : Bug",0,0
Top Navigation  : Placement partners are not visible,"![Screenshot_2025-05-09_at_11.07.51_AM](/uploads/2d883498db456a17982c31cb6b30c131/Screenshot_2025-05-09_at_11.07.51_AM.png)


![Screenshot_2025-05-09_at_11.07.58_AM](/uploads/77a252a8d1e8498625410823c8f46524/Screenshot_2025-05-09_at_11.07.58_AM.png)

https://www.mits.dev6.intersmarthosting.in",286,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/286,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:40:47,2025-05-09 05:40:47,,,,"Dev Test Phase 2,HTML,P0,Status : New,Type : Bug",0,0
Collabrations(all pages) : pdf : if no link added/ or none is selected : the link should not be clickable,"",287,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/287,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:42:20,2025-05-09 05:46:22,,,,"Dev Test Phase 2,HTML,P0,Status : New,Type : Enhancement",0,0
Search Result : Search result text is not visible,![Screenshot_2025-05-09_at_11.18.58_AM](/uploads/6b733ebdba432082bb9ad819a0aa4818/Screenshot_2025-05-09_at_11.18.58_AM.png),288,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/288,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:49:23,2025-05-09 05:49:23,,,,"Dev Test Phase 2,HTML,P0,Regression,Status : New",0,0
Courses : Added data except the title is not reflecting on frontend instead of default data and links,![Screenshot_2025-05-09_at_11.28.35_AM](/uploads/51726d8c95f474bfebb83a3fb88dbe3b/Screenshot_2025-05-09_at_11.28.35_AM.png),289,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/289,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 05:59:11,2025-05-09 05:59:11,,,,"Dev Test Phase 2,Functional,P0,Status : New,Type : Bug",0,0
"Departments : When no data added to tabs, the tabs are showing also when no content is added redirects to 404 page","",290,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/290,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:10:34,2025-05-09 06:14:13,,,,"Dev Test Phase 2,Functional,HTML,P2,Status : New,Type : Bug",0,0
College Council : Sort order of “College Council” section and “Objectives” section is getting clashed.,"https://www.mits.dev6.intersmarthosting.in/college-council

https://www.mits.dev6.intersmarthosting.in/admin-portal/college-council-cms",291,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/291,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:11:49,2025-05-09 06:11:49,,,,"Dev Test Phase 2,Functional,P0,Status : New,Type : Bug",0,0
IQAC : Character restriction in “Functions” section should be removed as per the client req.,https://www.mits.dev6.intersmarthosting.in/iqac,292,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/292,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:19:09,2025-05-09 06:19:09,,,,"Dev Test Phase 2,Functional,P1,Status : New,Type : Enhancement",0,0
IQAC : (ALL PAGES) The pdf icon is only fully visible after clicked,"![Screenshot_2025-05-09_at_11.50.50_AM](/uploads/9f106482eebd11e43c4c5be877fe868f/Screenshot_2025-05-09_at_11.50.50_AM.png)

https://www.mits.dev6.intersmarthosting.in/iqac",293,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/293,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:22:12,2025-05-09 06:22:12,,,,"Dev Test Phase 2,HTML,P3,Status : New,Type : Bug",0,0
"Sister Concerns, News , Departments Etc : Sort order is not getting updated",https://www.mits.dev6.intersmarthosting.in/admin-portal/management-cms/MQ==/management-group,294,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/294,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:33:46,2025-05-09 10:21:16,,,,"Dev Test Phase 2,Functional,P0,Status : New,Type : Bug",0,0
Department : Placements : added image is not showing on frontend,"![Screenshot_2025-05-09_at_12.14.43_PM](/uploads/55236a8888f4c7e805b64fc1a8173bdc/Screenshot_2025-05-09_at_12.14.43_PM.png)

![Screenshot_2025-05-09_at_12.14.49_PM](/uploads/9fefaedd610fced5fb978abfe7f43359/Screenshot_2025-05-09_at_12.14.49_PM.png)",295,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/295,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:45:28,2025-05-09 06:45:28,,,,"Dev Test Phase 2,HTML,P0,Status : New,Type : Bug",0,0
Department : Placements : It asks to enter Count while adding image :,![Screenshot_2025-05-09_at_12.17.50_PM](/uploads/e7fd3618d11cfeccc7fc4f843c5712b5/Screenshot_2025-05-09_at_12.17.50_PM.png),296,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/296,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:48:21,2025-05-09 06:48:21,,,,"Dev Test Phase 2,Functional,P1,Status : New,Type : Bug",0,0
Department : Infrastructure :Infrastructure part animation and design are different from the ux,"![Screenshot_2025-05-09_at_12.22.34_PM](/uploads/49e2bd09ce00302c99e62f1e48a866f1/Screenshot_2025-05-09_at_12.22.34_PM.png)

![Screenshot_2025-05-09_at_12.22.40_PM](/uploads/b0f2a7e4275383f3301c53f0c856f0e5/Screenshot_2025-05-09_at_12.22.40_PM.png)


https://www.mits.dev6.intersmarthosting.in/department/department-of-computer-science#InfrastructureLanding",297,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/297,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 06:53:02,2025-05-09 06:53:13,,,,"Dev Test Phase 2,HTML,P0,Status : New,Type : Bug",0,0
Departments : Awards : This tab is missing in the cms page (shows a s editable filed only),"![Screenshot_2025-05-09_at_2.28.45_PM](/uploads/5581054d60413f40d6b598d7f1e8feeb/Screenshot_2025-05-09_at_2.28.45_PM.png)

![Screenshot_2025-05-09_at_2.28.54_PM](/uploads/ce66ae737b926a6a05ff79a971f0d526/Screenshot_2025-05-09_at_2.28.54_PM.png)

![Screenshot_2025-05-09_at_2.29.25_PM](/uploads/f1817485869c85d525430ad33b53531f/Screenshot_2025-05-09_at_2.29.25_PM.png)",298,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/298,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 08:59:41,2025-05-09 08:59:41,,,,"Dev Test Phase 2,Functional,HTML,P0,Status : New,Type : Bug",0,0
Department : dashboard : menu : Awards menu is highlighted when clicked department and then awards and then departments,![Screenshot_2025-05-09_at_2.42.56_PM](/uploads/707ec8843225db4b022a509be9dbdb78/Screenshot_2025-05-09_at_2.42.56_PM.png),299,https://gitlab.com/ManualProjects/php/cmsphpcust25/mits/-/issues/299,Open,BugSlayer,abhiram9,"","",No,No,,2025-05-09 09:13:19,2025-05-09 09:13:19,,,,"Dev Test Phase 2,Functional,P3,Status : New,Type : Bug",0,0
